[2026-07-07T18:40:03+00:00] copy_paste: loss= metric= gpu_util=0% gpu_mem=4MB
[2026-07-07T18:45:03+00:00] copy_paste: loss=1.83882 metric=0.2566 gpu_util=67% gpu_mem=30961MB
[2026-07-07T18:50:04+00:00] copy_paste: loss=2.16645 metric=0.09774 gpu_util=77% gpu_mem=30933MB
[2026-07-07T18:55:04+00:00] copy_paste: loss=1.86017 metric=0.34773 gpu_util=27% gpu_mem=30967MB
[2026-07-07T19:00:04+00:00] copy_paste: loss=1.71323 metric=0.47587 gpu_util=100% gpu_mem=30973MB
[2026-07-07T19:05:04+00:00] copy_paste: loss=1.6453 metric=0.47578 gpu_util=65% gpu_mem=12357MB
[2026-07-07T19:10:04+00:00] copy_paste: loss=1.55166 metric=0.52921 gpu_util=100% gpu_mem=30929MB
[2026-07-07T19:15:04+00:00] copy_paste: loss=1.50923 metric=0.54033 gpu_util=91% gpu_mem=30933MB
[2026-07-07T19:20:04+00:00] copy_paste: loss=1.47543 metric=0.56127 gpu_util=20% gpu_mem=30985MB
[2026-07-07T19:25:05+00:00] copy_paste: loss=1.43995 metric=0.57672 gpu_util=56% gpu_mem=30973MB
[2026-07-07T19:30:05+00:00] copy_paste: loss=1.41271 metric=0.6082 gpu_util=92% gpu_mem=30973MB
[2026-07-07T19:35:05+00:00] copy_paste: loss=1.38847 metric=0.62168 gpu_util=21% gpu_mem=30967MB
[2026-07-07T19:40:05+00:00] copy_paste: loss=1.35868 metric=0.62303 gpu_util=2% gpu_mem=12473MB
[2026-07-07T19:45:05+00:00] copy_paste: loss=1.33757 metric=0.62519 gpu_util=100% gpu_mem=30967MB
[2026-07-07T19:50:05+00:00] copy_paste: loss=1.30949 metric=0.62478 gpu_util=91% gpu_mem=30979MB
[2026-07-07T19:55:05+00:00] copy_paste: loss=1.28465 metric=0.6397 gpu_util=74% gpu_mem=30967MB
[2026-07-07T20:00:05+00:00] copy_paste: loss=1.28197 metric=0.6349 gpu_util=20% gpu_mem=30933MB
[2026-07-07T20:05:05+00:00] copy_paste: loss=1.24868 metric=0.6327 gpu_util=69% gpu_mem=30939MB
[2026-07-07T20:10:06+00:00] copy_paste: loss=1.23319 metric=0.6652 gpu_util=91% gpu_mem=30925MB
[2026-07-07T20:15:06+00:00] copy_paste: loss=1.20103 metric=0.66994 gpu_util=20% gpu_mem=30985MB
[2026-07-07T20:20:06+00:00] copy_paste: loss=1.21028 metric=0.64513 gpu_util=19% gpu_mem=30961MB
[2026-07-07T20:25:06+00:00] copy_paste: loss=1.17257 metric=0.66674 gpu_util=71% gpu_mem=30933MB
[2026-07-07T20:30:06+00:00] copy_paste: loss=1.17112 metric=0.6765 gpu_util=91% gpu_mem=30985MB
[2026-07-07T20:35:06+00:00] copy_paste: loss=1.14173 metric=0.67817 gpu_util=51% gpu_mem=30943MB
[2026-07-07T20:40:06+00:00] copy_paste: loss=1.12617 metric=0.68546 gpu_util=93% gpu_mem=30925MB
[2026-07-07T20:45:06+00:00] copy_paste: loss=1.11251 metric=0.66534 gpu_util=22% gpu_mem=30985MB
[2026-07-07T20:50:07+00:00] copy_paste: loss=1.09055 metric=0.68428 gpu_util=92% gpu_mem=30961MB
[2026-07-07T20:55:07+00:00] copy_paste: loss=1.07428 metric=0.68537 gpu_util=21% gpu_mem=30925MB
[2026-07-07T21:00:07+00:00] copy_paste: loss=1.05788 metric=0.66829 gpu_util=100% gpu_mem=30961MB
[2026-07-07T21:05:07+00:00] copy_paste: loss=1.04225 metric=0.66965 gpu_util=90% gpu_mem=30961MB
[2026-07-07T21:10:07+00:00] copy_paste: loss=1.03265 metric=0.67009 gpu_util=100% gpu_mem=12361MB
[2026-07-07T21:15:07+00:00] copy_paste: loss=1.01882 metric=0.67003 gpu_util=91% gpu_mem=30933MB
[2026-07-07T21:20:08+00:00] copy_paste: loss=0.99678 metric=0.66409 gpu_util=100% gpu_mem=30961MB
[2026-07-07T21:25:08+00:00] copy_paste: loss=0.97304 metric=0.68959 gpu_util=20% gpu_mem=30933MB
