[2026-07-07T18:40:03+00:00] no_geo_aug: loss= metric= gpu_util=0% gpu_mem=4MB
[2026-07-07T18:45:03+00:00] no_geo_aug: loss=1.84619 metric=0.30509 gpu_util=92% gpu_mem=30957MB
[2026-07-07T18:50:03+00:00] no_geo_aug: loss=2.17071 metric=0.02183 gpu_util=100% gpu_mem=12359MB
[2026-07-07T18:55:03+00:00] no_geo_aug: loss=1.85336 metric=0.3564 gpu_util=100% gpu_mem=30967MB
[2026-07-07T19:00:04+00:00] no_geo_aug: loss=1.70839 metric=0.43261 gpu_util=100% gpu_mem=30973MB
[2026-07-07T19:05:04+00:00] no_geo_aug: loss=1.61529 metric=0.53738 gpu_util=100% gpu_mem=30961MB
[2026-07-07T19:10:04+00:00] no_geo_aug: loss=1.56907 metric=0.54218 gpu_util=86% gpu_mem=30929MB
[2026-07-07T19:15:04+00:00] no_geo_aug: loss=1.51094 metric=0.56449 gpu_util=93% gpu_mem=30933MB
[2026-07-07T19:20:04+00:00] no_geo_aug: loss=1.47542 metric=0.56575 gpu_util=100% gpu_mem=30985MB
[2026-07-07T19:25:04+00:00] no_geo_aug: loss=1.42557 metric=0.59466 gpu_util=92% gpu_mem=30925MB
[2026-07-07T19:30:04+00:00] no_geo_aug: loss=1.41782 metric=0.60264 gpu_util=61% gpu_mem=30973MB
[2026-07-07T19:35:04+00:00] no_geo_aug: loss=1.38912 metric=0.58983 gpu_util=91% gpu_mem=30967MB
[2026-07-07T19:40:05+00:00] no_geo_aug: loss=1.36095 metric=0.62736 gpu_util=49% gpu_mem=30973MB
[2026-07-07T19:45:05+00:00] no_geo_aug: loss=1.3345 metric=0.64456 gpu_util=91% gpu_mem=30961MB
[2026-07-07T19:50:05+00:00] no_geo_aug: loss=1.31284 metric=0.61726 gpu_util=60% gpu_mem=30979MB
[2026-07-07T19:55:05+00:00] no_geo_aug: loss=1.27902 metric=0.6414 gpu_util=90% gpu_mem=30967MB
[2026-07-07T20:00:05+00:00] no_geo_aug: loss=1.2602 metric=0.62378 gpu_util=69% gpu_mem=30967MB
[2026-07-07T20:05:05+00:00] no_geo_aug: loss=1.24011 metric=0.64194 gpu_util=80% gpu_mem=30973MB
[2026-07-07T20:10:05+00:00] no_geo_aug: loss=1.2334 metric=0.64874 gpu_util=78% gpu_mem=30925MB
[2026-07-07T20:15:05+00:00] no_geo_aug: loss=1.20215 metric=0.63518 gpu_util=39% gpu_mem=30985MB
[2026-07-07T20:20:06+00:00] no_geo_aug: loss=1.19438 metric=0.66475 gpu_util=92% gpu_mem=30973MB
[2026-07-07T20:25:06+00:00] no_geo_aug: loss=1.17816 metric=0.66187 gpu_util=100% gpu_mem=30929MB
[2026-07-07T20:30:06+00:00] no_geo_aug: loss=1.16438 metric=0.66218 gpu_util=93% gpu_mem=30985MB
[2026-07-07T20:35:06+00:00] no_geo_aug: loss=1.13619 metric=0.66813 gpu_util=95% gpu_mem=30929MB
[2026-07-07T20:40:06+00:00] no_geo_aug: loss=1.11687 metric=0.68498 gpu_util=91% gpu_mem=30967MB
[2026-07-07T20:45:06+00:00] no_geo_aug: loss=1.09388 metric=0.65622 gpu_util=24% gpu_mem=12473MB
[2026-07-07T20:50:06+00:00] no_geo_aug: loss=1.08917 metric=0.65113 gpu_util=92% gpu_mem=30961MB
[2026-07-07T20:55:06+00:00] no_geo_aug: loss=1.07422 metric=0.66164 gpu_util=100% gpu_mem=30973MB
[2026-07-07T21:00:06+00:00] no_geo_aug: loss=1.05862 metric=0.66748 gpu_util=100% gpu_mem=30961MB
[2026-07-07T21:05:07+00:00] no_geo_aug: loss=1.03601 metric=0.66489 gpu_util=24% gpu_mem=12377MB
[2026-07-07T21:10:07+00:00] no_geo_aug: loss=1.02135 metric=0.67117 gpu_util=100% gpu_mem=30933MB
[2026-07-07T21:15:07+00:00] no_geo_aug: loss=1.01067 metric=0.65738 gpu_util=100% gpu_mem=30933MB
[2026-07-07T21:20:07+00:00] no_geo_aug: loss=0.99734 metric=0.67037 gpu_util=67% gpu_mem=30979MB
[2026-07-07T21:25:07+00:00] no_geo_aug: loss=0.97214 metric=0.68165 gpu_util=97% gpu_mem=12371MB
[2026-07-07T21:30:07+00:00] no_geo_aug: loss=0.96697 metric=0.69332 gpu_util=83% gpu_mem=30933MB
[2026-07-07T21:35:07+00:00] no_geo_aug: loss=0.94364 metric=0.66402 gpu_util=100% gpu_mem=30985MB
[2026-07-07T21:40:08+00:00] no_geo_aug: loss=0.92861 metric=0.67668 gpu_util=78% gpu_mem=31023MB
[2026-07-07T21:45:08+00:00] no_geo_aug: loss=0.92427 metric=0.67159 gpu_util=67% gpu_mem=12369MB
[2026-07-07T21:50:08+00:00] no_geo_aug: loss=0.90394 metric=0.67672 gpu_util=92% gpu_mem=30929MB
[2026-07-07T21:55:08+00:00] no_geo_aug: loss=0.88684 metric=0.66531 gpu_util=49% gpu_mem=30929MB
[2026-07-07T22:00:08+00:00] no_geo_aug: loss=0.87117 metric=0.6726 gpu_util=100% gpu_mem=30933MB
[2026-07-07T22:05:08+00:00] no_geo_aug: loss=0.86577 metric=0.66777 gpu_util=70% gpu_mem=12367MB
[2026-07-07T22:10:08+00:00] no_geo_aug: loss=0.85258 metric=0.66555 gpu_util=91% gpu_mem=30925MB
[2026-07-07T22:15:08+00:00] no_geo_aug: loss=0.83819 metric=0.66049 gpu_util=71% gpu_mem=30933MB
[2026-07-07T22:20:08+00:00] no_geo_aug: loss=0.82369 metric=0.67055 gpu_util=95% gpu_mem=30967MB
[2026-07-07T22:25:09+00:00] no_geo_aug: loss=0.81322 metric=0.67428 gpu_util=78% gpu_mem=12369MB
[2026-07-07T22:30:09+00:00] no_geo_aug: loss=0.80182 metric=0.68158 gpu_util=92% gpu_mem=30979MB
[2026-07-07T22:35:09+00:00] no_geo_aug: loss=0.77797 metric=0.68184 gpu_util=100% gpu_mem=30979MB
[2026-07-07T22:40:09+00:00] no_geo_aug: loss=0.77355 metric=0.6887 gpu_util=89% gpu_mem=30973MB
[2026-07-07T22:45:09+00:00] no_geo_aug: loss=0.7691 metric=0.67375 gpu_util=86% gpu_mem=12371MB
[2026-07-07T22:50:09+00:00] no_geo_aug: loss=0.75261 metric=0.66572 gpu_util=100% gpu_mem=30933MB
[2026-07-07T22:55:09+00:00] no_geo_aug: loss=0.73629 metric=0.67632 gpu_util=92% gpu_mem=30961MB
[2026-07-07T23:00:10+00:00] no_geo_aug: loss=0.72006 metric=0.65701 gpu_util=91% gpu_mem=30985MB
[2026-07-07T23:05:10+00:00] no_geo_aug: loss=0.7187 metric=0.66324 gpu_util=67% gpu_mem=12361MB
[2026-07-07T23:10:10+00:00] no_geo_aug: loss=0.70061 metric=0.66809 gpu_util=91% gpu_mem=30973MB
[2026-07-07T23:15:10+00:00] no_geo_aug: loss=0.69469 metric=0.65166 gpu_util=100% gpu_mem=30979MB
[2026-07-07T23:20:10+00:00] no_geo_aug: loss=0.67769 metric=0.65962 gpu_util=92% gpu_mem=30961MB
[2026-07-07T23:25:10+00:00] no_geo_aug: loss=0.67076 metric=0.65856 gpu_util=84% gpu_mem=12363MB
[2026-07-07T23:30:10+00:00] no_geo_aug: loss=0.57755 metric=0.66826 gpu_util=91% gpu_mem=30929MB
[2026-07-07T23:35:10+00:00] no_geo_aug: loss=0.55938 metric=0.66738 gpu_util=100% gpu_mem=30925MB
[2026-07-07T23:40:11+00:00] no_geo_aug: loss=0.5493 metric=0.66342 gpu_util=92% gpu_mem=30957MB
