[2026-07-07T18:40:03+00:00] no_mosaic: loss= metric= gpu_util=0% gpu_mem=4MB
[2026-07-07T18:45:03+00:00] no_mosaic: loss=1.89902 metric=0.262 gpu_util=92% gpu_mem=30921MB
[2026-07-07T18:50:04+00:00] no_mosaic: loss=2.28546 metric=0.14731 gpu_util=100% gpu_mem=31027MB
[2026-07-07T18:55:04+00:00] no_mosaic: loss=1.91062 metric=0.32367 gpu_util=100% gpu_mem=30955MB
[2026-07-07T19:00:04+00:00] no_mosaic: loss=1.72654 metric=0.36097 gpu_util=61% gpu_mem=30949MB
[2026-07-07T19:05:04+00:00] no_mosaic: loss=1.62256 metric=0.49219 gpu_util=23% gpu_mem=30925MB
[2026-07-07T19:10:04+00:00] no_mosaic: loss=1.56201 metric=0.50303 gpu_util=33% gpu_mem=30949MB
[2026-07-07T19:15:04+00:00] no_mosaic: loss=1.51411 metric=0.55521 gpu_util=86% gpu_mem=30923MB
[2026-07-07T19:20:04+00:00] no_mosaic: loss=1.45948 metric=0.54885 gpu_util=100% gpu_mem=30951MB
[2026-07-07T19:25:05+00:00] no_mosaic: loss=1.43324 metric=0.5793 gpu_util=95% gpu_mem=12329MB
[2026-07-07T19:30:05+00:00] no_mosaic: loss=1.38578 metric=0.61571 gpu_util=67% gpu_mem=30949MB
[2026-07-07T19:35:05+00:00] no_mosaic: loss=1.35039 metric=0.58913 gpu_util=92% gpu_mem=30951MB
[2026-07-07T19:40:05+00:00] no_mosaic: loss=1.33179 metric=0.61667 gpu_util=71% gpu_mem=30917MB
[2026-07-07T19:45:05+00:00] no_mosaic: loss=1.31014 metric=0.61551 gpu_util=64% gpu_mem=30927MB
[2026-07-07T19:50:05+00:00] no_mosaic: loss=1.26737 metric=0.6192 gpu_util=92% gpu_mem=30927MB
[2026-07-07T19:55:05+00:00] no_mosaic: loss=1.24732 metric=0.63212 gpu_util=100% gpu_mem=30951MB
[2026-07-07T20:00:05+00:00] no_mosaic: loss=1.21907 metric=0.61358 gpu_util=50% gpu_mem=30951MB
[2026-07-07T20:05:06+00:00] no_mosaic: loss=1.20042 metric=0.60993 gpu_util=100% gpu_mem=30955MB
[2026-07-07T20:10:06+00:00] no_mosaic: loss=1.17981 metric=0.63546 gpu_util=21% gpu_mem=30961MB
[2026-07-07T20:15:06+00:00] no_mosaic: loss=1.15215 metric=0.64782 gpu_util=100% gpu_mem=30923MB
[2026-07-07T20:20:06+00:00] no_mosaic: loss=1.13797 metric=0.65118 gpu_util=91% gpu_mem=12329MB
[2026-07-07T20:25:06+00:00] no_mosaic: loss=1.10574 metric=0.64587 gpu_util=100% gpu_mem=30951MB
[2026-07-07T20:30:06+00:00] no_mosaic: loss=1.08736 metric=0.61861 gpu_util=57% gpu_mem=30951MB
[2026-07-07T20:35:06+00:00] no_mosaic: loss=1.06419 metric=0.64165 gpu_util=92% gpu_mem=30919MB
[2026-07-07T20:40:06+00:00] no_mosaic: loss=1.05341 metric=0.65947 gpu_util=84% gpu_mem=12331MB
[2026-07-07T20:45:07+00:00] no_mosaic: loss=1.02515 metric=0.63958 gpu_util=67% gpu_mem=30923MB
